地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易筆棟數,建物現況格局,主要用途
浴井８３號三樓,2020/1/16,580,22.1,26.28,82.36%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
浴井８５號三樓,2020/1/10,540,23.6,22.9,81.04%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,2房2廳2衛,住家用
西海路三段１０６巷７弄１號二樓之１,2019/12/24,660,21.6,30.58,79.45%,公寓(5樓含以下無電梯),4,二層/三層,土:2 建:1車:0,3房1廳1衛,住家用
金門城５之１１號,2019/12/20,400,20.4,19.58,,公寓(5樓含以下無電梯),5,一層/三層,土:1 建:1車:0,2房1廳2衛,住家用
珠浦西路２２號５樓,2019/12/12,620,25.1,24.68,78.17%,公寓(5樓含以下無電梯),20,五層/五層,土:1 建:1車:0,2房1廳1衛,住家用
環島北路一段３８巷１６弄２號３樓,2019/11/24,580,18.3,31.72,89.24%,公寓(5樓含以下無電梯),24,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門５０之３號三樓,2019/11/19,500,18.9,26.44,79.05%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,2房2廳2衛,住家用
小西門４６號二樓,2019/11/10,450,16.3,27.57,93.78%,公寓(5樓含以下無電梯),6,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
庵前４３之５號二樓,2019/11/8,310,21.5,14.44,86.01%,公寓(5樓含以下無電梯),4,二層/三層,土:1 建:1車:0,1房1廳1衛,住家用
山前６５號三樓,2019/11/6,500,20,25.01,75.86%,公寓(5樓含以下無電梯),5,三層/三層,土:1 建:1車:0,3房1廳1衛,住家用
浴井８５號二樓,2019/10/21,510,22.3,22.92,80.96%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,2房2廳2衛,住家用
金門城３３號３樓,2019/10/15,500,17.6,28.38,84.56%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,3房1廳2衛,住家用
民生路４５巷３號四樓,2019/9/24,660,25.3,26.14,85.97%,公寓(5樓含以下無電梯),14,四層/四層,土:1 建:1車:0,3房2廳3衛,住家用
小西門４７號,2019/9/21,500,17.9,27.89,90.79%,公寓(5樓含以下無電梯),6,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小古崗３３之８號二樓,2019/9/20,480,17.2,27.93,76.84%,公寓(5樓含以下無電梯),1,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門５之１號三樓,2019/9/17,370,13.8,26.87,82.32%,公寓(5樓含以下無電梯),,三層/三層,土:1 建:2車:0,3房2廳3衛,住家用
浴井３６號,2019/9/16,455,20.7,21.94,87.12%,公寓(5樓含以下無電梯),2,一層/三層,土:1 建:1車:0,2房1廳2衛,住家用
小古崗３３之７號三樓,2019/9/11,506,19.5,25.93,83.15%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小古崗３３之６號三樓,2019/9/11,506,19.4,26.12,83.28%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
金門城３３之３號三樓,2019/8/7,490,17.3,28.38,84.56%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
環島北路一段３８巷１６弄５號,2019/7/28,660,20.9,31.64,89.46%,公寓(5樓含以下無電梯),24,一層/三層,土:2 建:1車:0,3房2廳2衛,住家用
賢聚４２之８號三樓,2019/7/23,670,19.7,34.06,85.84%,公寓(5樓含以下無電梯),1,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小古崗１９之９號,2019/7/10,580,22.2,26.09,91.93%,公寓(5樓含以下無電梯),2,一層/三層,土:1 建:1車:0,3房2廳1衛,住家用
賢安里浴井３２號,2019/7/8,450,20.9,21.58,93.27%,公寓(5樓含以下無電梯),2,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小古崗３３之７號二樓,2019/6/30,460,17.7,25.93,83.15%,公寓(5樓含以下無電梯),1,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小古崗３３之７號,2019/6/28,510,19.7,25.93,83.15%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
浴井３１號三樓,2019/6/24,460,19.8,23.25,84.91%,公寓(5樓含以下無電梯),2,三層/三層,土:1 建:1車:0,2房2廳2衛,住家用
古城里金門城３３之３號２樓,2019/6/17,450,15.9,28.38,84.56%,公寓(5樓含以下無電梯),1,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
山前６５號二樓,2019/6/15,500,20,25.01,75.86%,公寓(5樓含以下無電梯),4,二層/三層,土:1 建:1車:0,3房2廳1衛,住家用
珠浦西路６巷６弄３號二樓,2019/5/24,680,28.5,23.82,82.24%,公寓(5樓含以下無電梯),10,二層/五層,土:1 建:1車:0,3房2廳2衛,住家用
東沙１３之１號三樓,2019/5/15,400,14.1,28.31,86.74%,公寓(5樓含以下無電梯),2,三層/三層,土:1 建:1車:0,2房2廳2衛,住家用
浴井３１號,2019/5/8,470,20.2,23.25,84.91%,公寓(5樓含以下無電梯),2,一層/三層,土:1 建:1車:0,2房2廳2衛,住家用
小西門４０號,2019/4/12,412,22.4,18.41,83.53%,公寓(5樓含以下無電梯),1,一層/三層,土:1 建:1車:0,2房1廳1衛,住家用
浴井７９號二樓,2019/3/19,730,19.4,37.67,87.95%,公寓(5樓含以下無電梯),1,二層/三層,土:6 建:1車:0,3房2廳2衛,住家用
金門城１１６之３號,2019/3/15,500,15.9,31.51,87.95%,公寓(5樓含以下無電梯),4,一層/三層,土:2 建:1車:0,3房2廳1衛,住家用
珠浦西路５０巷１１弄１０號二樓之２,2019/3/15,262,21.1,12.41,65.77%,公寓(5樓含以下無電梯),10,二層/四層,土:1 建:1車:0,1房1廳1衛,住家用
小西門５０之６號二樓,2019/3/14,436,16.5,26.44,76.73%,公寓(5樓含以下無電梯),1,二層/三層,土:1 建:1車:0,2房2廳2衛,住家用
金門城１６９之９號二樓,2019/3/8,575,17.2,33.34,87.41%,公寓(5樓含以下無電梯),3,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門５０之３號二樓,2019/2/25,439.4,16.6,26.44,76.73%,公寓(5樓含以下無電梯),1,二層/三層,土:1 建:1車:0,2房2廳2衛,住家用
小西門５０之５號二樓,2019/2/25,510,16.6,30.69,80.00%,公寓(5樓含以下無電梯),1,二層/三層,土:1 建:1車:0,2房2廳2衛,住家用
小古崗３３之６號,2019/2/20,518,19.8,26.12,83.28%,公寓(5樓含以下無電梯),,一層/三層,土:1 建:1車:0,3房2廳2衛,住家用
小西門５０之２號二樓,2019/2/18,510,16.6,30.69,80.00%,公寓(5樓含以下無電梯),1,二層/三層,土:1 建:1車:0,2房2廳2衛,住家用
小古崗３３之６號二樓,2019/1/22,470,18,26.12,83.28%,公寓(5樓含以下無電梯),,二層/三層,土:1 建:1車:0,3房2廳2衛,住家用
東沙１３之１號,2018/12/31,500,17.7,28.31,86.74%,公寓(5樓含以下無電梯),2,一層/三層,土:1 建:1車:0,2房2廳2衛,住家用
金門城７３之３號３樓之１,2018/12/22,400,20.4,19.65,83.65%,公寓(5樓含以下無電梯),2,三層/三層,土:1 建:1車:0,2房2廳1衛,住家用
西海路三段７２巷３弄１６號,2018/11/19,325,14.1,23.02,96.93%,公寓(5樓含以下無電梯),23,一層/二層,土:1 建:1車:0,3房1廳1衛,住家用
西海路三段３９巷２弄１６號３樓,2018/11/4,430,14.5,29.69,91.09%,公寓(5樓含以下無電梯),24,三層/三層,土:1 建:1車:0,3房2廳2衛,住家用
