地段位置或門牌,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,樓別/樓高
西海路三段１０６巷１７弄１０號二樓,2021/4/17,538.0,14.1,38.28,58.68,公寓(5樓含以下無電梯),二層/三層
民權路２２６巷２弄１２號六樓之１,2021/4/7,1115.0,28.0,47.17,67.49,住宅大樓(11層含以上有電梯),六層/十一層
民權路２２６巷２弄１２號三樓之１,2021/4/7,1238.0,30.0,48.83,64.54,住宅大樓(11層含以上有電梯),三層/十一層
民權路２２６巷２弄１２號三樓之７,2021/4/7,1338.0,30.0,59.76,64.54,住宅大樓(11層含以上有電梯),三層/十一層
西海路三段１０６巷１７弄１０號,2021/3/30,538.0,15.4,34.89,65.17,公寓(5樓含以下無電梯),一層/三層
金門城２０５號五樓,2021/3/25,550.0,19.7,27.98,76.39,華廈(10層含以下有電梯),五層/五層
金門城８８之８號四樓,2021/3/19,645.0,19.4,33.33,80.34,公寓(5樓含以下無電梯),四層/五層
大古崗１２７號三樓,2021/3/18,500.0,17.2,29.1,80.05,華廈(10層含以下有電梯),三層/五層
民權路２２６巷２弄１２號七樓之６,2021/3/17,780.0,29.9,26.05,70.74,住宅大樓(11層含以上有電梯),七層/十一層
民權路２２６巷２弄１２號三樓之６,2021/3/12,750.0,28.8,26.05,70.75,住宅大樓(11層含以上有電梯),三層/十一層
民權路２２６巷２弄１２號七樓之１,2021/3/2,1110.0,31.0,35.83,68.31,住宅大樓(11層含以上有電梯),七層/十一層
金門城３０之６號,2021/2/25,465.0,15.3,30.34,82.13,公寓(5樓含以下無電梯),一層/三層
金門城８８之１０號四樓,2021/2/24,503.0,19.0,26.41,77.50,華廈(10層含以下有電梯),四層/五層
小西門５０之５號,2021/2/1,510.0,12.9,39.45,88.80,公寓(5樓含以下無電梯),"一層,地下一層/三層"
庵前２９之７號三樓之１,2021/1/31,420.0,21.5,19.58,88.55,公寓(5樓含以下無電梯),三層/三層
大古崗１２７號四樓,2021/1/26,520.0,17.9,29.1,80.05,華廈(10層含以下有電梯),四層/五層
浴井５２號,2021/1/22,640.0,21.5,29.81,80.62,華廈(10層含以下有電梯),一層/五層
小西門５０之２號,2021/1/18,480.0,12.2,39.45,88.80,公寓(5樓含以下無電梯),"一層,地下一層/三層"
小西門５０之３號,2021/1/18,500.0,12.0,41.83,90.86,公寓(5樓含以下無電梯),"一層,地下一層/三層"
西海路三段３９巷２弄１６號１樓,2020/12/31,539.8,18.2,29.69,91.09,公寓(5樓含以下無電梯),一層/三層
珠浦西路５０巷１３弄１３號４樓,2020/12/31,700.0,21.0,33.32,82.67,公寓(5樓含以下無電梯),四層/五層
民權路３０巷３弄１號四樓,2020/12/28,550.0,18.3,29.98,78.69,公寓(5樓含以下無電梯),四層/五層
珠浦西路２８巷２弄６號三樓,2020/12/26,890.0,24.3,36.67,80.31,華廈(10層含以下有電梯),三層/五層
小西門７６之１號,2020/12/23,908.3,22.9,39.68,82.73,華廈(10層含以下有電梯),一層/五層
小西門７６之１號二樓,2020/12/23,730.0,17.5,41.61,78.88,華廈(10層含以下有電梯),二層/五層
小西門７６之１號三樓,2020/12/23,730.0,17.5,41.61,78.88,華廈(10層含以下有電梯),三層/五層
小西門７６之１號四樓,2020/12/23,735.0,17.7,41.61,78.88,華廈(10層含以下有電梯),四層/五層
小西門７６之１號五樓,2020/12/23,775.0,18.6,41.61,78.88,華廈(10層含以下有電梯),五層/五層
小西門７６之２號二樓,2020/12/23,815.0,19.0,42.89,79.72,華廈(10層含以下有電梯),二層/五層
小西門７６之２號三樓,2020/12/23,830.0,19.4,42.89,79.72,華廈(10層含以下有電梯),三層/五層
小西門７６之２號四樓,2020/12/23,775.0,18.1,42.89,79.72,華廈(10層含以下有電梯),四層/五層
