地段位置或門牌,社區簡稱,交易年月,總價(萬元),單價,總面積,主建物佔比,型態,屋齡,樓別/樓高,交易標的,交易筆棟數,建物現況格局,車位總價,管理組織,電梯,主要用途,備註
金門城８８之３號,,111/04/29,555,19.8,28.05,81.70%,公寓(5樓含以下無電梯),8,一層/三層,房地(土地+建物),土:1 建:2車:0,3房1廳2衛,,無,無,住家用,
金門城２３０號,,111/04/27,540,23,23.5,73.75%,華廈(10層含以下有電梯),1,一層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉
金門城２２７號五樓,,111/04/20,520,22.1,23.5,73.75%,華廈(10層含以下有電梯),1,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉 預售屋、或土地及建物分件登記案件;
大古崗１２６號,,111/04/19,540,18.6,29,71.70%,公寓(5樓含以下無電梯),2,一層/五層,房地(土地+建物),土:3 建:1車:0,3房2廳2衛,,無,無,住家用,
西海路三段３９巷２弄３號三樓,,111/04/14,660,20.5,32.21,73.74%,華廈(10層含以下有電梯),1,三層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,無,有,住家用,土地264萬元，建物396萬元 契稅12780元由賣方支付
山前２之１號５樓,,111/04/13,670,23.3,28.74,77.59%,華廈(10層含以下有電梯),1,五層/五層,房地(土地+建物),土:1 建:1車:0,2房2廳2衛,,無,有,住家用,建物第一次登記後移轉
民權路２２６巷４弄１５號５樓,鼎天大樓,111/04/06,780,26.2,29.76,80.42%,公寓(5樓含以下無電梯),13,五層/五層,房地(土地+建物),土:1 建:1車:0,3房2廳2衛,,有,無,住家用,
西海路三段７２巷１弄３之１號,,111/04/02,685,0,59.25,,透天厝,27,全/三層,房地(土地+建物),土:1 建:1車:0,5房3廳3衛,,無,無,住家用,
前水頭１３９之１號二樓,,111/03/30,1390,22.2,62.56,80.43%,公寓(5樓含以下無電梯),10,二層/三層,房地(土地+建物),土:2 建:2車:0,,,無,無,住家用,
庵前４３之５號三樓,,111/03/25,320,22.2,14.44,86.01%,公寓(5樓含以下無電梯),6,三層/三層,房地(土地+建物),土:1 建:1車:0,1房1廳1衛,,無,無,住家用,交易價格包含庵前劃測段190建號之價格
大學路５３巷６弄９號二樓,,111/03/25,250,20.8,12.01,71.51%,公寓(5樓含以下無電梯),12,二層/三層,房地(土地+建物),土:2 建:1車:0,1房1廳1衛,,有,無,住家用,
光前路８７號,,111/03/21,2280,0,45.32,,透天厝,42,全/三層,房地(土地+建物),土:1 建:1車:0,,,無,無,住家用,
民權路２２６巷２弄１２號五樓之７,,111/03/15,1088,21.6,55.12,53.56%,,5,五層/十一層,房地(土地+建物)+車位,土:2 建:1車:1,3房2廳2衛,100,有,有,住家用,
光前路８７之１號,,111/03/12,2160,0,47.31,,透天厝,42,全/三層,房地(土地+建物),土:2 建:1車:0,5房1廳3衛,,無,無,住家用,
