Location,Year of transaction,Total price (million),price,Total area,Percentage of main building,Type
大學路５３巷６弄１５號三樓,2012/12/3,155,18.6,8.35,75.8,套房(1房(1廳)1衛)
大學路５３巷６弄１６號三樓,2012/12/3,155,18.6,8.35,75.8,套房(1房(1廳)1衛)
大學路５３巷６弄１０號三樓,2012/12/3,140,19.6,7.15,83.21,套房(1房(1廳)1衛)
大學路５３巷６弄１２號三樓,2012/12/3,140,19.8,7.06,82.98,套房(1房(1廳)1衛)
大學路５３巷６弄１３號三樓,2012/12/3,140,19.8,7.06,82.98,套房(1房(1廳)1衛)
大學路５３巷６弄１１號三樓,2012/12/3,140,19.8,7.06,82.98,套房(1房(1廳)1衛)
富康一村９巷９號５樓,2012/11/9,510,16.7,30.59,77.37,公寓(5樓含以下無電梯)
民權路７０巷１１弄２１號,2012/10/11,800,28.6,27.93,88.1,華廈(10層含以下有電梯)
民權路７０巷１１弄２３號,2012/10/11,800,27.8,28.78,86.93,華廈(10層含以下有電梯)
大學路５３巷６弄１５號,2012/8/30,165,19.8,8.35,75.8,套房(1房(1廳)1衛)
民權路１８４巷３弄１號２樓,2012/8/6,600,17.7,33.98,81.58,公寓(5樓含以下無電梯)
珠浦西路９４巷１１之２號１樓,2012/7/13,450,16.5,27.26,83.49,公寓(5樓含以下無電梯)
